PID,condition,age_group,age,gender,pre1,abb_abs1,aab_abs1,pre,stars,stars_order,transfer_grouped_strategy,transfer_strategy,abb_abs2,aab_abs2,post,diff
17,Exploration,5,5.661111111,M,0,1,1,2,3,"6, 9, 4, 5, 3",pattern-related,unconstrained chunking,1,1,2,0
18,Demonstration,5,5.713888889,M,1,1,1,2,3,"1, 3, 6, 9, 8",exploit,exploit,1,1,2,0
19,Exploration,5,5.719444444,M,1,1,1,2,3,"3, 6, 9, 1, 5",exploit,exploit,1,1,2,0
20,Demonstration,5,5.352777778,M,1,1,1,2,3,"9, 8, 7, 6, 3",pattern-related,unconstrained chunking,1,1,2,0
21,Exploration,6,6.569444444,M,1,1,1,2,3,"3, 6, 9, 8, 5",exploit,exploit,1,1,2,0
23,Exploration,6,6.805555556,F,1,1,1,2,3,"3, 9, 6, 7, 5",exploit,exploit,1,1,2,0
24,Demonstration,6,6.127777778,M,1,1,1,2,3,"3, 5, 6, 8, 9",pattern-related,shape matching,1,1,2,0
25,Exploration,5,5.352777778,F,1,1,1,2,2,"3, 9, 8, 7, 2",pattern-related,constrained chunking,1,1,2,0
26,Demonstration,5,5.552777778,F,1,1,1,2,2,"6, 7, 8, 9, 4",pattern-related,constrained chunking,1,1,2,0
27,Exploration,5,5.388888889,M,1,1,1,2,3,"4, 5, 6, 9, 3",exploit,exploit,1,1,2,0
28,Demonstration,5,5.633333333,F,1,1,1,2,1,"1, 2, 3, 4, 5",no strategy,sequential,1,0,1,-1
29,Exploration,5,5.105555556,M,1,1,1,2,2,"3, 7, 6, 8, 1",pattern-related,unconstrained chunking,1,1,2,0
31,Exploration,5,5.1,F,1,1,1,2,1,"5, 4, 2, 1, 3",pattern-related,spatial grouping,1,1,2,0
32,Demonstration,5,5.080555556,M,1,1,1,2,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1,2,0
47,Exploration,6,6.241666667,M,1,1,1,2,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1,2,0
48,Demonstration,6,6.241666667,M,1,1,1,2,1,"2, 1, 3, 4, 5",pattern-related,spatial grouping,1,1,2,0
52,Exploration,5,5.636111111,F,1,1,1,2,3,"3, 6, 8, 9, 5",pattern-related,shape matching,1,1,2,0
53,Exploration,5,5.777777778,F,1,0,1,1,1,"1, 5, 6, 7, 8",pattern-related,unconstrained chunking,0,0,0,-1
55,Exploration,5,5.111111111,F,1,1,1,2,1,"5, 4, 7, 8, 6",pattern-related,spatial grouping,1,1,2,0
56,Demonstration,5,5.533333333,M,1,1,1,2,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1,2,0
57,Demonstration,5,5.044444444,F,1,1,1,2,2,"9, 3, 5, 7, 8",pattern-related,unconstrained chunking,1,1,2,0
59,Exploration,5,5.341666667,M,1,1,1,2,2,"7, 6, 9, 8, 5",pattern-related,spatial grouping,1,1,2,0
60,Demonstration,5,5.855555556,M,1,1,1,2,2,"3, 5, 7, 6, 4",pattern-related,spatial grouping,1,1,2,0
61,Demonstration,5,5.086111111,F,1,1,1,2,2,"9, 8, 7, 6, 5",no strategy,sequential,1,1,2,0
63,Exploration,5,5.805555556,F,1,1,1,2,3,"9, 6, 3, 7, 1",exploit,exploit,1,1,2,0
65,Exploration,5,5.566666667,F,1,1,1,2,3,"4, 6, 9, 8, 3",pattern-related,unconstrained chunking,0,0,0,-2
66,Demonstration,5,5.688888889,M,1,1,1,2,1,"7, 8, 3, 4, 5",pattern-related,unconstrained chunking,1,1,2,0
67,Exploration,5,5.633333333,F,1,1,1,2,3,"3, 5, 6, 8, 9",pattern-related,shape matching,1,1,2,0
69,Exploration,6,6.566666667,M,1,1,1,2,3,"9, 6, 3, 4, 2",exploit,exploit,1,1,2,0
70,Exploration,6,6.944444444,M,1,1,1,2,3,"3, 6, 8, 9, 7",pattern-related,unconstrained chunking,1,1,2,0
71,Exploration,6,6.2,F,1,1,1,2,1,"1, 8, 2, 9, 5",pattern-related,unconstrained chunking,1,1,2,0
72,Demonstration,6,6.816666667,M,1,1,1,2,3,"3, 5, 6, 9, 7",pattern-related,unconstrained chunking,1,1,2,0
73,Exploration,6,6.9,F,1,1,1,2,2,"3, 9, 7, 2, 5",pattern-related,unconstrained chunking,1,1,2,0
74,Demonstration,5,5.669444444,F,1,1,1,2,3,"3, 9, 6, 2, 5",exploit,exploit,1,1,2,0
76,Demonstration,6,6.772222222,F,1,1,1,2,1,"4, 9, 8, 7, 2",pattern-related,unconstrained chunking,1,1,2,0
77,Demonstration,6,6.408333333,M,1,1,1,2,1,"1, 6, 7, 4, 8",pattern-related,unconstrained chunking,1,1,2,0
78,Exploration,6,6.447222222,M,1,1,1,2,3,"3, 9, 6, 4, 7",exploit,exploit,1,1,2,0
79,Demonstration,6,6.405555556,F,0,0,1,1,2,"6, 3, 8, 5, 7",pattern-related,unconstrained chunking,1,1,2,1
80,Demonstration,6,6.158333333,F,1,1,1,2,3,"3, 5, 9, 6, 2",pattern-related,shape matching,1,1,2,0
81,Exploration,6,6.919444444,F,1,0,1,1,3,"9, 6, 3, 1, 5",exploit,exploit,1,1,2,1
82,Demonstration,6,6.802777778,M,1,1,1,2,2,"9, 5, 4, 2, 6",pattern-related,unconstrained chunking,1,1,2,0
83,Demonstration,6,6.480555556,M,1,1,1,2,3,"3, 6, 9, 4, 2",exploit,exploit,1,1,2,0
84,Exploration,6,6.547222222,M,1,1,1,2,3,"3, 7, 6, 9, 1",pattern-related,unconstrained chunking,1,1,2,0
87,Demonstration,5,5.763888889,M,1,1,1,2,2,"6, 5, 4, 3, 2",no strategy,sequential,1,1,2,0
88,Demonstration,5,5.222222222,F,1,0,1,1,3,"3, 5, 6, 8, 9",pattern-related,shape matching,1,1,2,1
89,Exploration,5,5.188888889,F,1,1,1,2,2,"9, 5, 2, 7, 6",pattern-related,unconstrained chunking,1,1,2,0
90,Demonstration,6,6.486111111,F,1,1,1,2,2,"1, 2, 3, 5, 6",pattern-related,constrained chunking,1,1,2,0
92,Exploration,6,6.472222222,F,1,1,1,2,2,"3, 9, 2, 5, 7",pattern-related,unconstrained chunking,1,1,2,0
93,Demonstration,6,6.45,M,1,1,1,2,3,"3, 9, 6, 4, 5",exploit,exploit,1,1,2,0
94,Exploration,5,5.813888889,F,1,1,1,2,1,"1, 2, 3, 4, 5",no strategy,sequential,1,1,2,0
95,Demonstration,5,5.183333333,M,1,1,1,2,3,"3, 9, 7, 8, 6",pattern-related,unconstrained chunking,1,1,2,0
97,Exploration,6,6.763888889,M,1,1,1,2,3,"3, 2, 1, 9, 6",pattern-related,unconstrained chunking,1,1,2,0
98,Exploration,5,5.052777778,M,1,1,1,2,3,"9, 5, 6, 3, 1",pattern-related,unconstrained chunking,1,0,1,-1
102,Exploration,6,6.625,M,1,0,0,0,3,"3, 9, 6, 1, 5",exploit,exploit,1,1,2,2
105,Demonstration,5,5.586111111,M,1,1,1,2,2,"7, 6, 9, 8, 5",pattern-related,spatial grouping,1,1,2,0
106,Demonstration,6,6.438888889,M,1,1,1,2,3,"3, 6, 9, 5, 2",exploit,exploit,1,1,2,0
107,Demonstration,5,5.091666667,F,1,1,1,2,2,"3, 5, 9, 2, 8",pattern-related,shape matching,1,1,2,0
108,Exploration,6,6.208333333,F,1,1,1,2,2,"3, 9, 4, 7, 5",pattern-related,unconstrained chunking,1,1,2,0
109,Demonstration,6,6.933333333,F,1,1,1,2,2,"3, 9, 7, 5, 1",pattern-related,unconstrained chunking,1,1,2,0
110,Exploration,5,5.755555556,M,1,1,1,2,2,"4, 3, 6, 8, 1",pattern-related,unconstrained chunking,1,1,2,0
113,Exploration,6,6.477777778,M,1,1,1,2,3,"3, 6, 2, 9, 8",pattern-related,shape matching,1,1,2,0
114,Demonstration,6,6.608333333,M,1,1,1,2,3,"3, 5, 9, 7, 6",pattern-related,unconstrained chunking,1,1,2,0
115,Demonstration,6,6.288888889,F,1,1,1,2,3,"9, 6, 3, 1, 5",exploit,exploit,1,1,2,0
116,Exploration,6,6.063888889,M,1,0,1,1,1,"1, 2, 3, 4, 5",no strategy,sequential,0,1,1,0
117,Demonstration,6,6.063888889,M,0,1,0,1,2,"2, 3, 4, 5, 6",no strategy,sequential,1,0,1,0
118,Demonstration,5,5.713888889,F,1,1,1,2,2,"1, 8, 4, 9, 6",pattern-related,unconstrained chunking,1,1,2,0
119,Exploration,6,6.163888889,M,1,0,0,0,3,"3, 6, 9, 8, 5",exploit,exploit,1,1,2,2
121,Demonstration,6,6.136111111,M,1,1,1,2,2,"1, 3, 2, 4, 9",pattern-related,unconstrained chunking,1,1,2,0
